year,us_inf,us_unemp,jp_inf,jp_unemp,eu_inf,eu_unemp,us_r_unemp,jp_r_unemp,eu_r_unemp
1960,1.46,5.54,3.57,1.62,1.74,5.54,,,
1961,1.07,6.69,5.37,1.44,1.87,6.69,,,
1962,1.20,5.57,6.84,1.29,2.75,5.57,,,
1963,1.24,5.64,6.71,1.26,2.92,5.64,,,
1964,1.28,5.16,3.80,1.17,3.66,5.16,,,
1965,1.59,4.51,6.66,1.23,3.67,4.51,,,
1966,3.02,3.79,5.04,1.32,3.43,3.79,,,
1967,2.77,3.84,3.99,1.25,2.99,3.84,,,
1968,4.27,3.56,5.34,1.18,3.24,3.56,,,
1969,5.46,3.49,5.25,1.13,2.65,3.49,,,
1970,5.84,4.98,6.92,1.18,4.14,4.98,-0.841154262,-0.278099149,-0.5391282107
1971,4.29,5.95,6.40,1.23,5.02,5.95,-0.6222671822,0.07598660363,-0.3735914096
1972,3.27,5.60,4.84,1.41,5.91,5.60,-0.3680381005,0.2050084251,0.449433953
1973,6.18,4.86,11.61,1.25,7.92,4.86,-0.2588833535,-0.1006113439,0.6653319654
1974,11.05,5.64,23.22,1.40,14.66,5.64,-0.04407646541,-0.009744302433,0.612522218
1975,9.14,8.48,11.73,1.89,12.23,8.48,0.3709071835,0.4671325179,0.61863996
1976,5.74,7.70,9.37,2.01,9.71,7.70,0.5808415916,0.3693868977,0.7272992676
1977,6.50,7.05,8.16,2.01,9.77,7.05,0.4682876957,0.2888950744,0.719024086
1978,7.63,6.07,4.21,2.23,7.57,6.07,0.3834213114,0.1781930567,0.6999602333
1979,11.25,5.85,3.70,2.08,8.47,5.85,0.2941111927,-0.08404936559,0.6393946338
1980,13.55,7.18,7.78,2.02,13.54,7.18,0.1471795735,-0.2883243241,0.4874139265
1981,10.33,7.62,4.91,2.21,11.51,7.62,0.2132142569,-0.3881283469,0.4347323387
1982,6.13,9.71,2.74,2.35,9.58,9.71,0.2222372148,-0.575100983,0.4447941979
1983,3.21,9.60,1.90,2.66,8.67,9.60,-0.1795457554,-0.8107847046,0.1775480989
1984,4.30,7.51,2.26,2.71,7.07,7.51,-0.605826826,-0.9262764396,-0.1672762121
1985,3.55,7.19,2.03,2.63,5.20,7.19,-0.4978893336,-0.8449502039,0.1600827861
1986,1.90,7.00,0.60,2.77,2.54,7.00,-0.4702518014,-0.8507134829,0.1218801827
1987,3.66,6.18,0.13,2.85,3.16,6.18,-0.3562516926,-0.8827757426,0.1748538426
1988,4.08,5.49,0.68,2.52,2.70,5.49,-0.2509116001,-0.8972599859,0.3131450316
1989,4.83,5.26,2.27,2.25,3.77,5.26,-0.1192181289,-0.8651323303,0.4565324632
1990,5.40,5.62,3.08,2.10,3.45,5.62,0.07925577929,-0.8490405322,0.5847511985
1991,4.23,6.85,3.25,2.09,4.05,6.85,0.1108754398,-0.7569085377,0.7702345076
1992,3.03,7.49,1.76,2.15,5.16,7.49,0.02926437662,-0.793839433,0.8998734184
1993,2.95,6.91,1.24,2.50,4.57,6.91,-0.5286451649,-0.722250907,0.8412915983
1994,2.61,6.10,0.70,2.89,4.13,6.10,-0.5866877038,-0.7470552467,0.6543293031
1995,2.81,5.59,-0.13,3.15,4.22,5.59,-0.6316504272,-0.8580489837,0.5606211374
1996,2.93,5.41,0.14,3.37,2.98,5.41,-0.5435773526,-0.9178196145,0.3874606497
1997,2.34,4.94,1.75,3.40,2.11,4.94,-0.3311797936,-0.8900246104,0.7446193644
1998,1.55,4.50,0.66,4.10,2.23,4.50,-0.1035321261,-0.7214501107,0.8299130768
1999,2.19,4.22,-0.34,4.67,1.66,4.22,0.2049579921,-0.7198276987,0.8764036063
2000,3.38,3.97,-0.68,4.73,2.85,3.97,0.4302739334,-0.7614975409,0.932250922
2001,2.83,4.74,-0.74,5.04,2.79,4.74,0.4919167384,-0.7783219628,0.8885984242
2002,1.59,5.78,-0.92,5.36,2.47,5.78,0.3279407898,-0.7903161613,0.8968180005
2003,2.27,5.99,-0.26,5.24,2.10,5.99,0.06563610308,-0.7767109768,0.7668573544
2004,2.68,5.54,-0.01,4.73,2.23,5.54,-0.1680209904,-0.7037684502,0.4557310127
2005,3.39,5.08,-0.28,4.43,2.49,5.08,-0.1974140415,-0.6622967329,0.2190870394
2006,3.23,4.61,0.25,4.12,2.67,4.61,-0.2195863406,-0.7922197845,0.006410775746
2007,2.85,4.62,0.06,3.83,2.45,4.62,-0.3180131518,-0.9017526954,-0.1610354282
2008,3.84,5.80,1.38,3.98,4.08,5.80,-0.333180942,-0.766732815,-0.1722705126
2009,-0.36,9.28,-1.35,5.08,0.37,9.28,-0.2268841235,-0.7329927933,0.2041150704
2010,1.64,9.61,-0.72,5.06,1.53,9.61,-0.8594237378,-0.7462104091,-0.7186317389
2011,3.16,8.93,-0.27,4.58,3.29,8.93,-0.7670685254,-0.7638936944,-0.7085938322
2012,2.07,8.08,-0.05,4.33,2.49,8.08,-0.5860555382,-0.7497694403,-0.4513773357
2013,1.46,7.36,0.35,4.01,1.22,7.36,-0.6486839416,-0.70815689,-0.4284125987
2014,1.62,6.16,2.76,3.58,0.24,6.16,-0.6600348894,-0.7929923819,-0.4461028969
2015,0.12,5.28,0.79,3.38,0.04,5.28,-0.616940576,-0.8399692798,-0.3153805473
2016,1.26,4.88,-0.12,3.11,0.18,4.88,-0.3312925516,-0.7907677627,-0.1077302032
2017,2.13,4.34,0.47,2.83,1.38,4.34,-0.1496709955,-0.6101067589,0.1194042305
2018,2.44,3.89,0.98,2.44,1.70,3.89,-0.07855770485,-0.5553933007,0.2254751959
2019,1.81,3.67,0.48,2.36,1.45,3.67,-0.08773056957,-0.6002632133,0.3564300317